enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
12756,64,14,0,1,0,2,5,15,8,6,6,25,1
5052,64,14,1,0,3,0,5,15,1,5,6,86,1
14826,5,85,2,0,3,0,5,10,3,4,3,51,1
2457,3,11,1,0,3,0,3,6,8,6,4,19,1
14335,112,87,1,0,3,0,5,2,0,5,0,20,0
3070,3,11,1,1,3,0,5,14,8,6,0,91,1
1206,93,21,1,0,3,0,5,1,1,5,1,100,0
17478,7,53,1,1,3,0,2,15,3,5,4,25,0
16283,6,88,3,0,3,2,5,13,7,0,1,6,0
555,13,90,1,1,0,1,6,14,3,5,0,42,0
6894,6,88,1,0,3,0,5,21,1,5,0,44,0
14450,101,40,1,0,0,0,5,11,4,0,1,51,0
7450,5,85,1,0,3,0,5,21,8,6,1,18,0
7595,64,14,3,0,0,0,5,11,0,1,5,31,1
10507,50,45,1,0,3,0,2,21,1,5,4,25,1
17140,95,67,1,0,1,0,5,16,8,6,0,89,0
15137,103,91,1,0,3,0,5,16,1,5,2,24,0
14088,78,60,3,0,2,2,5,4,7,6,0,14,0
4719,2,73,1,0,3,2,2,21,1,5,4,47,0
5373,11,8,3,1,0,1,6,13,8,6,5,96,0
3260,118,69,1,0,3,0,5,1,4,5,1,138,1
14674,95,67,2,1,3,2,2,14,3,5,3,12,0
5407,48,82,1,0,3,0,5,6,8,6,4,46,0
7171,48,82,0,0,3,2,2,5,5,4,0,27,0
2671,116,27,3,1,2,5,6,11,8,5,6,191,1
11892,93,21,1,0,3,0,5,21,8,6,3,21,0
9749,64,14,1,1,0,0,5,20,8,6,6,17,1
7172,26,60,1,0,3,0,5,11,0,5,0,28,0
6110,95,67,1,0,3,2,5,15,1,6,0,45,0
16627,11,8,3,1,0,0,5,20,8,6,6,11,0
1992,5,85,3,0,3,0,5,15,1,5,1,16,0
12896,74,75,1,0,3,2,5,15,4,5,1,64,0
12558,5,85,1,1,3,0,2,13,1,5,0,34,0
18188,95,67,1,1,0,0,5,19,3,5,2,13,0
18014,5,85,0,0,3,2,5,11,7,0,0,3,0
3324,5,85,1,0,3,0,5,6,4,5,4,11,0
12364,49,85,1,0,3,0,5,21,4,5,1,106,0
12523,5,85,1,1,3,0,5,21,8,6,0,133,0
14521,5,85,1,0,3,0,5,15,0,6,0,26,0
3277,63,55,3,0,1,2,5,14,4,1,0,73,0
16210,99,72,1,0,3,0,5,6,0,0,0,85,0
17708,89,70,0,1,1,0,5,20,0,5,1,82,0
16418,5,85,3,1,0,1,6,14,8,6,2,74,0
16732,43,27,1,1,0,2,5,2,8,4,1,41,0
18568,5,85,0,0,3,0,5,16,1,6,0,238,0
10824,91,83,1,1,0,0,5,14,8,6,5,136,0
16585,48,82,1,1,3,1,6,13,8,6,6,170,0
9510,5,85,0,1,3,0,2,13,1,5,0,12,1
5858,61,23,3,0,3,0,5,15,0,5,1,165,1
10248,5,85,3,0,3,0,5,1,1,2,0,47,0
6794,94,56,1,0,0,0,5,19,4,5,0,32,0
4106,49,85,3,1,0,1,6,11,1,5,0,138,0
6271,102,13,3,1,0,0,5,11,1,5,0,33,0
3908,94,56,1,0,3,0,5,16,4,5,1,13,1
4870,11,8,1,0,3,0,5,16,0,5,1,26,1
3436,11,8,1,0,3,0,5,18,1,5,0,23,1
8268,55,71,3,1,3,2,5,21,8,6,0,146,0
10329,5,85,0,0,3,0,5,2,5,2,4,19,0
13969,5,85,3,0,3,0,5,15,5,6,0,136,0
633,48,82,1,0,3,0,5,3,6,5,0,51,0
16341,103,91,1,0,3,0,5,21,4,5,1,155,0
4575,30,78,1,0,3,2,5,19,6,5,1,2,0
5840,64,14,1,0,3,0,5,11,7,5,1,1,1
14477,48,82,1,0,3,0,5,21,2,5,4,27,0
2881,101,40,1,0,3,0,4,21,8,6,3,45,0
2645,95,67,1,0,3,0,5,18,4,5,0,182,0
6367,13,90,1,0,3,0,5,1,7,5,0,35,0
15970,121,92,1,1,0,0,5,14,8,6,0,155,1
4796,64,14,1,0,0,0,5,11,0,2,1,99,0
9182,13,90,1,0,3,2,5,16,4,6,0,45,0
11678,120,89,1,0,3,0,5,21,2,5,4,18,0
18898,64,14,1,0,3,0,5,13,1,5,1,25,1
12029,116,27,3,0,0,0,5,17,7,2,0,89,0
10643,85,77,1,0,3,0,5,19,7,5,3,58,0
7994,49,85,1,0,1,0,1,1,4,1,0,205,0
4274,64,14,0,0,3,0,5,2,4,5,4,73,0
7846,48,82,1,0,3,3,5,21,1,5,1,19,1
5901,55,71,1,0,3,0,5,3,1,5,1,7,0
9044,5,85,1,0,3,0,5,16,1,5,0,128,0
18822,31,62,1,0,0,2,5,17,8,6,0,44,0
7460,111,26,1,0,0,0,5,2,0,5,1,107,0
8817,95,67,1,0,3,0,2,13,1,5,0,69,0
16036,5,85,0,0,3,0,5,21,1,2,4,16,0
13073,5,85,0,1,3,2,5,6,4,5,0,50,0
9078,5,85,0,0,3,0,5,16,4,5,2,59,1
2129,74,75,3,1,3,3,5,21,2,4,4,3,0
13996,13,90,1,1,3,0,5,3,1,5,4,6,0
1051,4,57,3,0,3,2,5,21,1,5,2,159,0
18782,93,21,1,0,3,0,5,12,8,6,3,219,0
1041,4,57,1,1,3,1,6,11,7,2,6,141,0
13633,5,85,3,1,3,3,5,22,8,6,5,69,0
1705,64,14,1,1,3,5,6,13,8,6,0,23,0
14164,5,85,1,1,3,2,2,13,3,5,0,130,1
17452,11,8,3,1,0,0,5,11,8,6,0,19,0
678,5,85,1,0,3,0,5,1,7,1,0,75,0
12539,116,27,0,1,0,2,5,15,8,6,3,20,1
7520,64,14,0,0,3,0,4,18,6,5,1,33,0
14035,49,85,1,1,3,0,5,19,7,5,1,14,0
11393,89,70,1,1,3,0,5,21,8,6,4,152,0
14146,5,85,1,0,3,0,5,21,6,5,4,14,0
4342,13,90,3,0,3,2,5,21,8,6,6,117,0
12910,45,46,3,0,3,0,3,5,3,6,4,46,0
675,101,40,1,0,3,0,5,3,8,6,1,98,1
1838,95,67,1,0,1,0,5,16,5,5,6,100,0
2342,5,85,1,1,3,1,6,14,8,6,6,51,0
10741,13,90,3,0,3,1,6,19,0,6,3,38,0
1104,5,85,1,0,0,1,6,14,8,6,0,110,1
18202,5,85,1,1,3,3,5,21,4,5,4,13,0
4617,48,82,3,0,3,5,6,2,8,6,0,3,0
6840,48,82,3,0,3,2,0,21,2,2,4,54,0
13347,64,14,1,0,3,0,5,16,3,5,3,48,1
11292,48,82,1,0,3,0,5,6,8,6,4,71,0
16456,114,89,1,0,0,0,5,5,6,5,2,137,1
2559,13,90,1,1,3,1,6,16,8,5,6,27,0
4056,5,85,1,0,3,0,5,4,3,5,0,5,0
9532,5,85,1,0,3,0,3,8,6,5,0,122,0
7514,103,91,3,0,3,0,5,21,8,6,6,235,0
14973,5,85,1,0,3,0,4,21,1,5,1,32,0
6970,4,57,3,1,3,2,5,16,3,5,4,39,0
2215,49,85,3,0,3,0,5,9,8,6,0,177,1
18402,5,85,0,0,3,2,5,6,3,5,4,54,0
2042,42,27,1,1,3,0,5,21,5,5,4,31,0
17457,5,85,1,0,3,0,0,21,1,5,4,10,0
4003,101,40,1,0,3,0,5,21,7,5,0,40,0
16854,5,85,1,0,3,2,5,21,3,4,4,86,1
18091,95,67,1,0,3,2,5,1,1,5,3,112,0
6973,98,27,3,0,2,5,6,21,8,6,4,32,0
6742,116,27,1,0,1,2,5,15,7,0,0,14,0
17766,48,82,3,1,0,1,6,13,8,6,0,7,0
8363,55,71,0,0,1,1,6,11,1,2,0,21,0
2018,5,85,1,0,3,2,5,21,6,5,3,12,0
1652,121,92,1,0,3,0,5,21,7,4,0,199,0
13382,5,85,1,0,3,2,5,19,0,5,0,21,0
16828,5,85,1,0,3,2,5,21,7,1,0,80,0
6917,56,48,3,0,0,0,5,14,0,1,0,10,0
15825,119,27,1,1,0,0,5,15,6,6,5,23,1
1675,5,85,1,0,3,0,5,21,1,1,0,49,0
16696,6,88,1,1,0,1,6,16,8,6,6,14,0
3032,70,91,1,0,3,2,5,21,0,5,4,30,0
1572,13,90,1,0,3,2,5,21,4,5,6,83,0
18631,30,78,1,0,1,0,5,14,3,5,0,41,0
18233,64,14,3,0,3,0,5,1,0,5,4,103,1
491,5,85,0,0,3,0,5,21,4,5,4,71,0
16873,14,52,1,0,3,0,5,5,0,5,4,41,1
6143,119,27,1,0,3,0,5,6,4,0,0,148,0
14890,5,85,1,0,3,0,5,3,3,5,0,59,0
14928,64,14,1,1,0,2,5,11,8,6,6,7,0
2244,48,82,1,1,0,2,5,4,8,6,2,16,1
4090,112,87,1,1,3,1,6,0,8,6,0,32,0
378,48,82,1,0,3,2,5,14,1,1,6,37,0
5531,5,85,1,0,3,0,2,5,7,0,1,168,0
18722,49,85,1,0,3,0,5,6,4,5,0,10,0
15480,74,75,1,0,3,1,6,21,8,6,6,86,0
4317,94,56,1,0,3,0,5,4,8,6,6,83,0
18301,99,72,1,0,3,0,5,21,1,0,1,31,0
13010,2,73,3,0,3,2,5,19,1,5,0,30,1
19133,64,14,1,1,3,0,5,11,5,4,0,38,0
11836,90,47,3,0,3,0,5,17,0,5,0,11,0
12295,64,14,3,0,0,0,5,15,3,5,0,49,0
16875,51,81,1,0,3,0,5,13,1,5,0,54,1
2458,11,8,3,0,3,0,5,15,4,5,5,6,1
18404,5,85,1,0,3,2,2,11,4,0,0,102,0
10335,49,85,3,0,0,0,1,21,8,6,4,89,1
17216,5,85,1,0,3,2,4,21,1,5,4,7,0
13561,64,14,1,1,0,0,5,11,8,6,6,100,0
4280,64,14,3,0,3,2,5,20,0,5,0,179,1
3112,39,9,3,0,3,0,5,14,1,5,0,21,0
17571,64,14,1,1,0,0,5,13,8,5,6,41,0
3073,49,85,3,1,3,4,6,14,8,5,6,49,0
14244,64,14,1,0,3,2,5,13,4,1,0,87,0
214,101,40,3,0,3,0,5,15,2,5,3,80,0
18097,5,85,1,0,3,2,5,21,3,5,0,6,0
2913,64,14,1,1,3,5,6,13,8,5,6,186,0
9485,48,82,1,0,3,0,5,21,3,5,4,61,0
10882,5,85,1,0,3,0,5,16,4,5,0,82,0
5324,70,91,1,0,3,0,5,19,2,5,4,10,0
2693,13,90,1,1,1,3,5,21,4,6,4,9,0
11845,70,91,1,0,3,2,5,1,2,5,0,112,0
12246,64,14,3,0,3,2,5,13,4,5,0,35,0
14337,4,57,3,1,2,2,5,16,0,5,0,16,0
14835,48,82,1,1,0,0,5,11,8,6,6,79,1
4772,49,85,1,0,1,0,5,21,4,4,4,106,0
3418,5,85,1,0,3,0,5,11,1,5,1,44,0
15808,5,85,1,1,0,0,5,15,8,6,6,76,0
1527,13,90,1,0,3,2,5,6,1,5,1,7,0
12036,55,71,3,1,3,0,5,15,8,6,0,27,0
14567,36,31,0,0,3,0,5,19,1,1,4,36,0
11800,48,82,3,1,0,0,5,11,8,6,1,106,1
16002,5,85,1,0,3,0,5,4,5,5,1,157,0
5970,101,40,3,0,0,1,6,19,8,6,4,40,0
220,51,81,1,0,3,2,5,10,1,5,3,3,0
7833,99,72,0,1,3,3,5,13,2,4,0,40,0
18942,51,81,3,0,3,0,5,8,3,5,1,11,0
215,5,85,1,0,3,0,5,21,4,5,0,173,0
4595,64,14,3,0,3,0,5,17,4,5,4,28,1
4899,5,85,1,0,3,0,5,16,1,4,0,10,0
11779,5,85,1,1,0,1,6,13,3,5,0,29,0
14497,5,85,1,0,3,2,5,4,1,6,4,38,0
14040,4,57,1,0,0,1,6,19,8,6,0,15,0
7044,13,90,1,1,3,0,5,21,4,5,4,4,0
14556,68,27,1,1,0,1,6,18,8,6,6,38,0
7368,13,90,1,0,3,2,5,1,4,5,4,28,0
7013,64,14,3,0,0,2,5,14,4,2,1,182,0
1897,5,85,2,1,1,1,6,16,4,1,0,53,0
8980,49,85,1,0,3,0,5,19,4,5,2,43,0
3734,48,82,1,0,3,0,5,6,8,6,4,46,0
16467,5,85,1,0,3,0,5,21,2,2,4,73,0
13724,64,14,1,0,3,2,5,16,0,5,0,7,1
14175,64,14,3,1,0,0,5,17,8,6,6,19,1
554,5,85,1,0,3,0,5,13,5,5,0,157,0
3445,74,75,3,1,3,0,1,11,4,5,0,108,0
9584,83,41,2,0,1,1,6,13,0,5,0,206,0
7397,31,62,1,0,3,2,5,5,8,6,0,5,0
8220,93,21,1,0,1,0,5,19,0,5,0,18,1
11771,93,21,2,1,3,0,5,21,4,5,4,22,1
9309,64,14,1,1,2,0,5,20,8,6,0,105,1
9333,30,78,1,0,3,2,5,6,3,6,4,131,0
9803,13,90,1,0,3,2,5,2,0,0,0,39,0
12452,99,72,1,0,3,0,5,3,4,5,0,10,0
4095,49,85,1,0,3,0,5,2,8,6,2,100,0
3110,64,14,1,1,0,0,5,11,8,6,6,98,0
13773,112,87,1,1,3,2,5,13,3,5,6,29,0
10044,5,85,3,1,3,1,6,15,8,6,0,19,1
2356,5,85,3,0,3,0,5,5,2,5,2,3,0
2833,48,82,3,1,3,4,6,15,8,6,6,14,0
12665,64,14,1,1,3,0,5,20,8,6,0,13,1
17689,112,87,1,1,3,4,6,0,8,5,6,101,0
11897,49,85,1,0,1,0,5,15,2,4,1,39,0
7405,48,82,1,0,3,3,5,21,1,5,1,26,0
6872,13,90,1,1,3,1,6,1,1,5,4,45,0
5285,13,90,1,0,3,1,6,17,4,5,4,108,0
7406,5,85,1,0,3,0,5,4,4,1,0,94,0
583,5,85,3,0,3,0,5,15,3,5,1,56,0
14522,49,85,1,0,0,0,5,16,8,6,0,196,0
12901,121,92,1,0,3,0,5,14,4,1,3,41,0
2812,103,91,1,0,3,2,5,17,8,6,0,15,1
7887,18,16,1,0,3,0,5,21,4,5,6,39,1
15457,5,85,1,0,3,0,5,15,1,1,1,92,0
8230,75,53,3,1,3,0,5,19,6,5,0,155,0
5372,55,71,1,1,1,0,5,1,0,0,0,24,0
17663,80,5,1,0,3,0,5,19,7,0,0,10,0
14447,55,71,3,0,3,1,6,20,1,5,0,28,0
16934,116,27,1,0,3,0,5,18,8,6,0,22,0
9899,36,31,1,0,3,0,5,1,0,5,1,111,0
6813,101,40,3,0,3,0,5,6,8,6,1,55,0
3386,6,88,1,1,0,0,5,11,8,6,0,38,1
15586,5,85,3,1,3,0,5,11,2,5,0,19,0
18145,49,85,1,0,0,0,5,21,3,5,0,39,0
3366,5,85,1,0,3,2,5,21,7,5,4,55,0
10275,39,9,3,1,0,0,5,14,8,6,0,104,0
7286,13,90,1,0,1,0,5,10,5,5,1,63,0
17394,101,40,1,0,3,0,5,15,3,5,0,50,0
15089,95,67,0,0,0,0,5,16,2,5,1,40,0
2290,5,85,3,0,3,0,5,12,1,5,4,146,0
6816,102,13,1,0,3,0,5,14,0,5,0,232,0
16472,30,78,1,0,3,2,5,17,8,6,6,19,0
17441,64,14,1,1,0,5,6,14,2,5,0,8,1
18644,4,57,1,0,0,0,5,19,6,5,0,73,0
12716,64,14,1,0,3,2,5,13,8,4,0,126,1
2700,95,67,0,0,3,2,5,1,8,6,0,41,0
14374,91,83,3,1,3,1,6,11,1,5,6,57,0
14912,5,85,1,1,0,1,6,13,8,6,0,123,1
4195,5,85,3,1,3,1,6,14,8,6,0,44,1
1517,112,87,1,0,3,0,5,21,0,5,4,161,0
14370,91,83,1,0,3,0,5,11,4,5,0,108,0
3086,5,85,1,0,0,0,5,21,8,6,0,36,0
7888,4,57,0,0,1,0,5,11,8,6,0,93,1
18946,5,85,1,0,3,0,5,21,8,6,4,28,1
17449,13,90,1,0,3,2,5,21,4,5,4,30,0
8277,15,38,1,1,0,2,5,2,4,5,4,95,0
14550,13,90,1,1,3,4,6,13,8,6,6,15,0
13470,5,85,1,1,3,4,6,14,8,6,6,13,0
11526,4,57,1,0,3,3,5,21,1,5,4,181,0
12595,5,85,0,0,3,0,5,11,0,1,0,180,0
17983,5,85,1,0,3,2,5,9,3,5,1,113,0
8402,4,57,3,0,3,2,5,7,1,5,3,156,0
11556,49,85,1,0,3,0,5,21,8,6,4,24,1
15726,5,85,3,0,3,0,5,9,5,5,4,92,0
14096,5,85,3,0,3,0,5,6,3,5,4,15,0
3793,116,27,1,0,0,2,5,6,8,6,0,98,0
5642,5,85,1,0,3,0,5,12,3,5,6,105,0
5763,45,46,1,0,1,2,5,2,8,6,0,16,0
8852,48,82,1,0,3,0,5,1,7,5,0,136,0
12037,103,91,1,0,3,0,2,13,3,5,1,74,0
848,103,91,3,0,3,1,6,16,8,6,0,58,0
5159,65,80,3,0,3,1,6,16,4,6,0,142,0
7778,118,69,3,1,3,5,6,13,8,6,6,224,0
6008,95,67,0,0,3,2,5,19,1,5,1,41,1
16212,5,85,3,0,3,0,3,5,8,5,0,128,0
15023,119,27,3,0,1,1,6,19,8,6,3,73,0
9865,48,82,0,0,3,0,5,17,3,5,0,21,0
10557,4,57,3,1,3,0,5,13,8,6,6,52,1
5267,91,83,1,0,3,2,5,21,5,5,4,139,0
2337,95,67,0,0,3,0,5,5,4,5,1,71,0
8412,5,85,1,0,3,1,6,2,5,5,0,6,0
16013,30,78,1,1,0,0,5,13,4,0,0,170,0
839,122,84,1,0,3,0,5,6,4,5,3,49,0
8723,2,73,1,0,3,1,6,11,4,4,0,81,0
14970,48,82,1,0,2,0,5,11,3,5,0,57,0
14112,6,88,3,0,3,0,5,19,0,5,0,92,0
16813,64,14,1,0,3,0,5,14,7,6,1,59,1
18701,94,56,1,0,0,2,5,15,1,5,3,121,0
16305,41,24,3,1,3,4,6,11,8,6,1,45,0
7253,43,27,1,1,0,2,5,13,8,2,1,56,1
11957,49,85,0,0,3,0,5,19,4,5,0,16,0
17360,5,85,3,0,3,0,5,5,6,5,4,99,0
3274,42,27,1,1,3,4,6,13,8,5,6,30,0
12949,30,78,1,0,3,0,5,21,8,6,0,35,0
15675,74,75,1,0,1,0,5,6,8,6,3,177,0
1549,48,82,1,1,3,2,5,15,3,5,6,30,0
10403,11,8,3,0,2,2,5,19,4,5,0,11,0
15908,5,85,1,0,3,0,5,21,4,1,0,30,0
4085,5,85,1,0,3,0,5,12,8,6,4,25,1
14153,5,85,1,0,3,0,5,16,4,5,0,54,0
15486,64,14,1,0,3,0,5,2,8,6,4,7,1
3339,48,82,1,0,3,1,6,21,1,5,4,37,0
414,65,80,1,0,3,0,2,7,8,6,1,7,0
1633,55,71,1,0,3,2,5,21,2,5,2,31,1
16124,77,48,1,0,1,0,5,9,1,1,4,50,0
2273,4,57,1,0,0,0,5,19,6,5,1,21,0
15612,13,90,1,0,0,1,6,17,8,6,0,16,0
326,48,82,1,1,2,5,6,13,8,6,6,23,0
1205,65,80,1,0,3,0,5,15,0,1,0,18,0
12247,64,14,1,0,0,2,5,19,4,5,1,45,1
9852,48,82,0,0,3,0,5,4,4,5,4,14,0
7867,49,85,1,0,3,2,5,21,8,6,4,22,1
1096,74,75,1,0,3,0,5,21,1,5,4,37,0
13488,64,14,3,1,0,2,5,14,8,6,6,45,1
5846,4,57,3,1,0,0,1,20,8,6,6,184,0
4778,5,85,1,0,3,0,5,21,2,4,4,51,0
4932,5,85,0,1,3,0,5,20,8,6,6,21,1
8724,13,90,1,0,3,2,5,6,1,5,1,64,0
18764,49,85,3,0,0,0,3,5,4,5,0,63,0
694,5,85,1,0,3,0,5,17,6,5,3,85,0
2221,2,73,1,1,0,0,5,14,8,6,0,51,1
7194,30,78,3,0,3,2,5,5,8,6,4,20,0
12798,13,90,1,1,3,0,5,13,2,4,0,85,0
15068,30,78,1,1,0,2,5,15,8,6,3,218,1
17558,48,82,1,0,3,2,5,21,1,5,4,52,0
10399,103,91,1,0,3,0,5,8,4,6,0,59,0
6153,48,82,1,0,3,2,5,9,8,6,4,168,0
17134,103,91,1,0,3,3,5,21,4,5,1,161,0
2828,6,88,1,0,3,3,2,21,8,6,0,61,0
11551,64,14,1,0,0,0,5,17,3,6,0,34,0
13379,5,85,1,0,3,0,5,8,1,5,4,104,0
6607,31,62,1,1,3,0,5,16,7,5,6,57,0
6772,116,27,1,0,0,2,6,22,8,6,5,43,1
16325,48,82,1,0,2,2,5,16,4,1,0,71,0
18731,5,85,3,0,3,1,6,9,3,5,0,79,0
5780,103,91,1,0,3,2,5,7,6,2,1,161,0
2233,1,76,3,0,3,2,5,21,1,5,0,24,0
2948,5,85,1,0,3,0,1,21,3,5,6,107,0
5173,99,72,1,0,3,0,5,0,7,0,0,36,0
8628,11,8,3,1,0,0,5,14,8,6,6,54,1
13603,5,85,1,1,2,5,6,13,8,6,6,31,0
3133,82,74,1,1,3,0,5,19,4,5,2,50,0
14525,5,85,1,0,3,0,5,7,4,1,0,83,0
11750,13,90,1,0,3,0,5,21,5,2,0,71,0
21,2,73,1,0,3,1,6,21,1,5,0,46,0
13456,95,67,1,1,0,0,5,3,8,6,3,46,0
5270,101,40,1,0,2,1,6,16,7,1,1,19,0
12186,64,14,1,0,3,0,5,18,8,6,0,177,1
5342,5,85,1,1,3,0,4,11,2,4,0,63,0
11778,85,77,1,0,3,2,5,6,3,5,4,22,1
14711,99,72,1,1,0,2,5,5,1,4,2,94,0
2538,64,14,1,1,3,1,6,11,8,5,6,226,0
2548,101,40,1,0,3,0,5,19,7,2,0,7,0
9114,83,41,1,0,3,0,5,21,1,5,0,47,0
989,64,14,1,0,3,0,5,18,0,5,0,96,1
1307,13,90,3,1,3,3,5,17,5,2,6,45,0
4641,5,85,1,1,0,0,5,0,8,6,0,52,1
5878,5,85,1,0,3,0,0,21,7,5,0,100,0
17518,49,85,3,1,0,0,5,14,8,6,0,75,0
15734,5,85,1,1,3,4,6,0,8,6,6,42,0
18531,5,85,1,1,3,0,5,21,4,5,4,31,0
4725,95,67,3,0,3,0,5,15,8,6,0,53,0
4561,50,45,3,0,0,2,5,18,0,5,0,6,0
8910,99,72,0,0,3,2,5,13,8,6,1,233,1
5295,109,65,3,0,3,5,6,21,5,6,6,94,0
9638,49,85,0,0,0,0,5,14,6,5,0,6,0
9256,48,82,1,0,3,0,5,7,0,5,0,52,0
18539,95,67,1,0,3,0,5,1,0,1,0,156,0
10448,30,78,1,1,3,2,5,18,0,5,0,10,0
4468,78,60,3,0,3,0,5,19,1,4,1,5,0
17538,64,14,1,1,0,0,5,0,4,6,0,71,1
17144,7,53,0,0,3,2,2,16,4,5,0,170,0
16690,103,91,1,0,3,0,5,21,6,5,4,66,0
10441,24,7,0,1,3,0,5,0,8,6,0,49,0
12791,99,72,0,1,1,0,5,15,1,5,0,15,0
14819,48,82,1,0,3,0,5,21,3,5,4,37,0
16041,5,85,2,0,3,0,0,15,0,0,0,96,0
11991,98,27,1,1,1,0,5,14,8,6,1,6,1
17698,49,85,1,1,0,0,5,11,8,6,0,87,0
16563,99,72,1,0,3,2,5,14,1,5,1,110,0
15376,46,44,2,0,0,0,5,6,6,6,6,29,1
4295,21,34,3,0,3,0,5,19,4,1,0,8,0
14584,95,67,2,1,0,1,6,14,3,5,0,35,0
12474,48,82,1,0,3,0,5,10,1,5,3,23,0
6162,5,85,1,0,3,2,2,11,3,2,0,27,0
15151,55,71,1,0,1,0,5,1,4,4,0,161,0
18369,64,14,1,0,0,2,5,1,4,5,1,60,1
8653,83,41,1,0,3,0,5,21,4,4,2,23,0
17725,48,82,1,1,0,0,5,1,8,6,0,7,1
17270,51,81,1,0,3,0,5,19,8,6,0,130,0
7637,95,67,1,0,3,0,5,5,8,6,4,139,0
13189,55,71,1,0,3,0,5,21,0,5,4,28,0
765,5,85,3,0,3,0,5,17,3,5,0,52,0
5383,5,85,1,0,3,0,5,19,3,4,4,10,1
14817,64,14,1,0,3,0,5,14,4,6,0,6,0
2832,83,41,1,0,3,0,5,18,4,5,4,86,0
352,5,85,1,0,3,0,5,18,0,1,0,17,0
17150,78,60,1,0,3,0,0,19,2,5,0,75,1
10607,64,14,1,0,3,0,5,16,3,5,0,112,0
13113,5,85,3,1,0,1,6,15,8,6,5,55,0
3168,48,82,1,0,3,0,5,17,4,6,4,29,0
11417,112,87,1,0,3,0,5,21,5,5,4,79,0
10531,77,48,1,0,0,0,5,5,2,5,6,51,0
13815,64,14,0,0,3,0,5,20,4,5,0,12,0
5638,50,45,3,0,3,0,5,14,1,4,6,41,0
1071,50,45,3,0,1,2,5,16,4,5,0,55,1
4409,64,14,1,1,3,4,6,11,8,6,6,11,1
6729,31,62,1,0,3,2,2,11,1,5,0,35,0
5602,13,90,1,0,3,2,5,21,2,5,4,66,0
16202,64,14,3,0,3,0,5,18,4,5,0,12,1
194,5,85,1,0,3,0,5,19,8,5,0,98,0
11803,48,82,1,0,3,3,5,6,3,5,0,57,0
14301,64,14,1,0,3,0,5,17,1,5,0,17,1
10456,64,14,3,0,3,2,5,11,3,5,1,89,1
15224,18,16,3,1,3,2,5,16,3,6,0,58,0
10513,4,57,3,0,3,2,5,11,3,5,1,34,0
10059,94,56,1,0,0,0,5,20,3,5,1,10,0
7463,64,14,1,0,3,0,5,14,8,6,1,14,1
3501,5,85,1,0,3,0,4,1,4,5,4,181,0
1407,97,18,3,0,3,2,5,19,4,5,0,127,0
